Customer_ID,ID,Name,Age,City,State,Region,Segment
,12520,Claire Gute,6*,Henderson,Kentucky,South,Consumer
,13045,Darrin Van Huff,3*,Los Angeles,California,West,Corporate
,20335,Sean O'Donnell,6*,Fort Lauderdale,Florida,South,Consumer
,11710,Brosina Hoffman,2*,Los Angeles,California,West,Consumer
,10480,Andrew Allen,5*,Concord,North Carolina,South,Consumer
,15070,Irene Maddox,6*,Seattle,Washington,West,Consumer
,14815,Harold Pawlan,2*,Fort Worth,Texas,Central,Home Office
,19075,Pete Kriz,4*,Madison,Wisconsin,Central,Consumer
,10270,Alejandro Grove,1*,West Jordan,Utah,West,Consumer
,21925,Zuschuss Donatelli,6*,San Francisco,California,West,Consumer
,16585,Ken Black,6*,Fremont,Nebraska,Central,Corporate
,20065,Sandra Flanagan,4*,Philadelphia,Pennsylvania,East,Consumer
,13870,Emily Burns,3*,Orem,Utah,West,Consumer
,13945,Eric Hoffmann,2*,Los Angeles,California,West,Consumer
,21520,Tracy Blumstein,4*,Philadelphia,Pennsylvania,East,Consumer
,17560,Matt Abelman,1*,Houston,Texas,Central,Home Office
,14485,Gene Hale,2*,Richardson,Texas,Central,Corporate
,20710,Steve Nguyen,4*,Houston,Texas,Central,Home Office
,16930,Linda Cazamias,3*,Naperville,Illinois,Central,Corporate
,19885,Ruben Ausman,5*,Los Angeles,California,West,Corporate
,14080,Erin Smith,2*,Melbourne,Florida,South,Corporate
,18715,Odella Nelson,2*,Eagan,Minnesota,Central,Corporate
,18865,Patrick O'Donnell,6*,Westland,Michigan,Central,Consumer
,16900,Lena Hernandez,6*,Dover,Delaware,East,Consumer
,13000,Darren Powers,4*,New Albany,Indiana,Central,Consumer
,15265,Janet Molinari,2*,New York City,New York,East,Corporate
,21055,Ted Butterfield,3*,Troy,New York,East,Consumer
,16720,Kunst Miller,6*,Los Angeles,California,West,Consumer
,18970,Paul Stevenson,3*,Chicago,Illinois,Central,Home Office
,11590,Brendan Sweed,4*,Gilbert,Arizona,West,Corporate
,16270,Karen Daniels,5*,Springfield,Virginia,South,Consumer
,14980,Henry MacAllister,3*,New York City,New York,East,Consumer
,15745,Joel Eaton,2*,Memphis,Tennessee,South,Consumer
,16600,Ken Brennan,2*,Houston,Texas,Central,Corporate
,20770,Stewart Carmichael,1*,Decatur,Alabama,South,Corporate
,13690,Duane Noonan,4*,San Francisco,California,West,Consumer
,16105,Julie Creighton,5*,Durham,North Carolina,South,Corporate
,12400,Christopher Schild,3*,Chicago,Illinois,Central,Home Office
,18895,Paul Gonzalez,6*,Rochester,Minnesota,Central,Consumer
,14455,Gary Mitchum,6*,Houston,Texas,Central,Home Office
,15685,Jim Sink,3*,Los Angeles,California,West,Corporate
,16315,Karl Braun,7*,Minneapolis,Minnesota,Central,Consumer
,19705,Roger Barcio,6*,Portland,Oregon,West,Home Office
,18775,Parhena Norris,3*,New York City,New York,East,Home Office
,16345,Katherine Ducich,3*,San Francisco,California,West,Consumer
,13855,Elpida Rittenbach,5*,Saint Paul,Minnesota,Central,Corporate
,19465,Rick Bensley,1*,Chicago,Illinois,Central,Home Office
,14470,Gary Zandusky,6*,Rochester,Minnesota,Central,Consumer
,16870,Lena Cacioppo,6*,Aurora,Colorado,West,Consumer
,15250,Janet Martin,6*,Charlotte,North Carolina,South,Consumer
,19060,Pete Armstrong,3*,Orland Park,Illinois,Central,Home Office
,12805,Cynthia Voltz,5*,New York City,New York,East,Corporate
,12565,Clay Ludtke,3*,Urbandale,Iowa,Central,Consumer
,19960,Ryan Crowe,3*,Columbus,Ohio,East,Consumer
,13090,Dave Kipp,2*,Seattle,Washington,West,Consumer
,14650,Greg Guthrie,5*,Bristol,Tennessee,South,Corporate
,20725,Steven Cartwright,2*,Wilmington,Delaware,East,Consumer
,10180,Alan Dominguez,5*,Houston,Texas,Central,Home Office
,19165,Philip Fox,3*,Bloomington,Illinois,Central,Consumer
,21610,Troy Staebel,3*,Phoenix,Arizona,West,Consumer
,16975,Lindsay Shagiari,6*,Los Angeles,California,West,Home Office
